,Accessible,Adaptive_Swing,Level,Location,Name,Playground_ID,Prop_ID,lat,lon,Zip,tot_inc_num_returns,tot_inc_amnt,avg_inc_by_zip,est_median_inc
287,Y,N,4.0,"86 ST, W/O WEST DRIVE",Spector Playground,M010-169,M010,40.7845,-73.9684,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
288,Y,N,4.0,"96 ST, W/O FIFTH AVE",East 96th St Playground,M010-176,M010,40.7877,-73.9566,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
289,Y,N,4.0,91 ST & CENTRAL PARK WEST,Safari Playground,M010-187,M010,40.7884,-73.9664,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
290,Y,Y,3.0,93 ST & CENTRAL PARK WEST,Wild West Playground,M010-188,M010,40.7898,-73.9655,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
291,Y,N,4.0,97 ST & CENTRAL PARK WEST,Rudin Playground,M010-193,M010,40.7918,-73.964,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
292,Y,Y,1.0,100 ST & 5TH AVE,Bendheim Playground,M010-195,M010,40.7904,-73.9544,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
293,Y,Y,2.0,100 ST & CENTRAL PARK WEST,West 100th St Playground,M010-202,M010,40.7937,-73.9626,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
294,Y,Y,3.0,108 ST & FIFTH AVE,Bernard Playground,M010-207,M010,40.7958,-73.9504,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
295,Y,Y,3.0,110th Street and Cathedral Parkway,110th St Playground,M010-241,M010,40.7998,-73.9571,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
296,Y,Y,1.0,110th Street and Lenox Avenue,110th St & Lenox Ave Playground,M010-247,M010,40.7976,-73.9517,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
297,Y,Y,4.0,"9 To 10 Aves, W 27 To W 28 Sts",Chelsea Park,M011,M011,40.7499,-74.0006,10001,14520.0,2323084000.0,159992.01101928376,63177.94871794872
298,Y,N,2.0,W 152 ST & BRADHURST AVE,Playground One Fifty Two Clii,M014-02,M014,40.8279,-73.9399,10039,13290.0,538272000.0,40502.031602708805,36993.055555555555
299,Y,N,2.0,W 149 ST & BRADHURST AVE,Jackie Robinson Park,M014-03,M014,40.8264,-73.941,10039,13290.0,538272000.0,40502.031602708805,36993.055555555555
300,Y,Y,3.0,"Baxter, Mulberry, Bayard & Park Sts",Columbus Park,M015,M015,40.7152,-74.0,10013,14940.0,6381000000.0,427108.4337349398,62958.89570552147
301,Y,N,4.0,"Jackson, Cherry Sts, Fdr Drive",Corlears Hook Park,M017,M017,40.7118,-73.9793,10002,42180.0,2313723000.0,54853.55618776671,12081.728045325779
302,Y,N,4.0,"Amsterdam Ave, W 151 To W 152 Sts",Carmansville Playground,M018,M018,40.8292,-73.9442,10031,29340.0,1227413000.0,41834.11724608044,36862.342569269524
303,Y,N,4.0,"Cherry, Pike, Monroe Sts",Coleman Playground,M019,M019,40.7112,-73.9932,10002,42180.0,2313723000.0,54853.55618776671,12081.728045325779
304,Y,N,4.0,"W 52 To W 54 Sts, 11 To 12 Aves",De Witt Clinton Park,M022,M022,40.7682,-73.9943,10019,25110.0,6587511000.0,262346.11708482675,88247.24409448818
305,Y,N,4.0,"Downing To Carmine Sts, Ave Of Americas",Downing Street Playground,M027,M027,40.7298,-74.0027,10014,18660.0,5629645000.0,301695.8735262594,143775.2155172414
306,Y,N,4.0,"W 162 ST, E/O RIVERSIDE DR",Lily Brown Playground,M028-02,M028,40.8388,-73.9462,10032,29300.0,1144085000.0,39047.26962457338,36786.299615877084
307,N,,,"W 165 ST, HENRY HUDSON PKY",Ft Washington,M028-03,M028,40.8401,-73.9477,10032,29300.0,1144085000.0,39047.26962457338,36786.299615877084
308,Y,N,4.0,"M C PLAZA, FT WASHINGTON AVE",Jacob Javits Playground,M029-01,M029,40.8589,-73.9345,10040,21300.0,933742000.0,43837.65258215962,36794.40298507463
309,Y,Y,3.0,BROADWAY & DYCKMAN ST,Anne Loftus Playground,M029-02,M029,40.8652,-73.929,10040,21300.0,933742000.0,43837.65258215962,36794.40298507463
310,Y,N,4.0,"E Houston, Stanton, Sheriff, Pitt Sts",Hamilton Fish Park,M033,M033,40.7198,-73.9808,10002,42180.0,2313723000.0,54853.55618776671,12081.728045325779
311,Y,N,4.0,W 167 ST & EDGECOMBE AVE,Sunken Playground,M037-01,M037,40.8377,-73.9361,10032,29300.0,1144085000.0,39047.26962457338,36786.299615877084
312,Y,N,4.0,W 180 ST & AMSTERDAM AVE,Quisqueya Playground,M037-03,M037,40.8472,-73.931,10032,29300.0,1144085000.0,39047.26962457338,36786.299615877084
313,Y,N,4.0,W 189 ST &  AMSTERDAM AVE,Wallenberg Playground,M037-04,M037,40.8529,-73.9269,10032,29300.0,1144085000.0,39047.26962457338,36786.299615877084
314,Y,N,4.0,W 173 ST BY POOL-MODULAR EQUIPMENT),Cpf Playground,M037-05B,M037,40.842,-73.9339,10032,29300.0,1144085000.0,39047.26962457338,36786.299615877084
